id,sp1,sp2,sp3,sp4,sp5,sp6,sp7,task,sound,total,order
56,6,9,13,11,10,9,5,spatial,quiet,63,Spatial
57,5,7,11,11,11,8,7,spatial,quiet,60,Spatial
58,9,8,6,11,12,9,9,spatial,quiet,64,Verbal
59,0,1,3,3,3,3,2,spatial,quiet,15,Spatial
60,5,7,7,8,6,4,6,spatial,quiet,43,Verbal
61,6,8,7,11,11,10,5,spatial,quiet,58,Spatial
62,4,4,3,5,7,6,6,spatial,quiet,35,Verbal
63,4,6,6,12,12,7,9,spatial,quiet,56,Spatial
64,2,3,2,1,3,5,4,spatial,quiet,20,Verbal
1,1,2,4,5,4,8,5,spatial,steady,29,Spatial
2,4,4,4,4,6,6,3,spatial,steady,31,Spatial
3,9,13,15,13,12,14,5,spatial,steady,81,Spatial
4,2,2,6,5,4,8,7,spatial,steady,34,Verbal
5,7,9,12,10,9,9,7,spatial,steady,63,Spatial
6,7,8,9,11,10,9,4,spatial,steady,58,Verbal
7,1,7,5,9,6,5,3,spatial,steady,36,Spatial
8,3,4,5,3,6,5,3,spatial,steady,29,Verbal
9,2,3,4,4,4,2,1,spatial,steady,20,Spatial
10,0,0,1,0,4,2,1,spatial,steady,8,Verbal
11,10,10,12,8,7,7,2,spatial,steady,56,Spatial
12,2,5,3,2,3,2,1,spatial,steady,18,Verbal
13,3,1,1,6,5,5,3,spatial,steady,24,Spatial
14,6,7,7,8,8,10,6,spatial,steady,52,Verbal
15,4,4,11,8,9,10,7,spatial,steady,53,Spatial
16,4,6,5,3,4,7,5,spatial,steady,34,Verbal
17,5,5,8,5,10,12,6,spatial,steady,51,Spatial
18,1,2,0,2,5,6,3,spatial,steady,19,Verbal
19,8,6,8,12,11,8,7,spatial,steady,60,Spatial
20,5,3,7,8,8,9,3,spatial,steady,43,Spatial
21,2,4,7,8,13,11,8,spatial,steady,53,Verbal
22,5,9,12,9,9,10,9,spatial,steady,63,Verbal
23,4,5,7,5,6,9,4,spatial,steady,40,Spatial
24,8,9,12,9,14,14,11,spatial,steady,77,Spatial
25,6,8,9,8,9,10,7,spatial,steady,57,Verbal
26,6,6,7,6,6,6,4,spatial,steady,41,Verbal
27,4,3,6,4,11,10,7,spatial,steady,45,Verbal
28,6,7,7,6,11,7,6,spatial,steady,50,Spatial
29,3,2,2,4,3,7,4,spatial,steady,25,Verbal
30,4,4,6,5,5,4,1,spatial,steady,29,Spatial
31,0,0,1,3,7,6,4,spatial,steady,21,Verbal
32,2,2,2,4,4,9,7,spatial,steady,30,Spatial
33,6,8,10,10,10,8,8,spatial,steady,60,Spatial
34,1,2,3,5,5,7,5,spatial,steady,28,Verbal
35,2,3,6,6,10,6,8,spatial,steady,41,Spatial
36,1,4,5,7,5,11,9,spatial,steady,42,Verbal
37,4,5,8,10,8,9,8,spatial,steady,52,Spatial
38,5,4,8,5,8,11,9,spatial,steady,50,Verbal
39,0,1,3,3,6,4,3,spatial,steady,20,Verbal
40,2,4,11,11,11,11,8,spatial,steady,58,Verbal
41,4,7,8,8,9,12,6,spatial,steady,54,Spatial
42,9,8,7,11,8,9,4,spatial,steady,56,Spatial
